case_id,suite,expected_decision,actual_decision,decision_correct,confidence,validation,expected_deduction_inr,actual_deduction_inr,deduction_correct,n_evidence,n_citations,evidence_recall,citation_hit_rate,citation_correctness,unsupported_claims,latency_ms,abstained,expected_abstention,evidence_missing
PUB-001,public,ADMISSIBLE_WITH_LIMITS,ADMISSIBLE_WITH_LIMITS,True,0.9664,PASS,10200,10200.0,True,28,12,1.0,1.0,1.0,0,572,False,False,
PUB-002,public,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9961,PASS,,0.0,,28,10,1.0,1.0,1.0,0,385,False,False,
PUB-003,public,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9666,PASS,,0.0,,28,12,1.0,1.0,1.0,0,282,False,False,
PUB-004,public,ADMISSIBLE_WITH_LIMITS,ADMISSIBLE_WITH_LIMITS,True,0.9952,PASS,5000,5000.0,True,24,6,1.0,1.0,1.0,0,169,False,False,
PUB-005,public,ADMISSIBLE,ADMISSIBLE,True,0.9658,PASS,0,0.0,True,28,12,1.0,1.0,1.0,0,264,False,False,
PUB-006,public,NEEDS_REVIEW,NEEDS_REVIEW,True,0.8561,PASS,,10000.0,,28,13,1.0,1.0,1.0,0,266,True,True,
PUB-007,public,ADMISSIBLE_WITH_LIMITS,ADMISSIBLE_WITH_LIMITS,True,0.9664,PASS,190500,190500.0,True,28,12,1.0,1.0,1.0,0,231,False,False,
PUB-008,public,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9958,PASS,,0.0,,28,11,1.0,1.0,1.0,0,220,False,False,
PUB-009,public,ADMISSIBLE,ADMISSIBLE,True,0.9964,PASS,0,0.0,True,28,12,1.0,1.0,1.0,0,303,False,False,
PUB-010,public,ADMISSIBLE,ADMISSIBLE,True,0.9955,PASS,0,0.0,True,28,11,1.0,1.0,1.0,0,284,False,False,
PUB-011,public,NEEDS_REVIEW,NEEDS_REVIEW,True,0.8861,PASS,,0.0,,28,10,1.0,1.0,1.0,0,230,True,True,
PUB-012,public,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9956,PASS,,0.0,,28,12,1.0,1.0,1.0,0,250,False,False,
CUS-001,custom,ADMISSIBLE,ADMISSIBLE,True,0.9961,PASS,0,0.0,True,28,10,1.0,1.0,1.0,0,225,False,False,
CUS-002,custom,ADMISSIBLE_WITH_LIMITS,ADMISSIBLE_WITH_LIMITS,True,0.9964,PASS,89500,89500.0,True,28,12,1.0,1.0,1.0,0,258,False,False,
CUS-003,custom,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9959,PASS,,0.0,,28,11,1.0,1.0,1.0,0,217,False,False,
CUS-004,custom,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9958,PASS,,0.0,,28,11,1.0,1.0,1.0,0,247,False,False,
CUS-005,custom,NEEDS_REVIEW,NEEDS_REVIEW,True,0.6961,PASS,,0.0,,28,12,1.0,1.0,1.0,0,259,True,True,
CUS-006,custom,PARTIALLY_ADMISSIBLE,PARTIALLY_ADMISSIBLE,True,0.9964,PASS,0,0.0,True,28,12,1.0,1.0,1.0,0,246,False,False,
CUS-007,custom,NOT_ADMISSIBLE,NOT_ADMISSIBLE,True,0.9666,PASS,,500.0,,28,13,1.0,1.0,1.0,0,298,False,False,
CUS-008,custom,ADMISSIBLE,ADMISSIBLE,True,0.9955,PASS,0,0.0,True,28,11,1.0,1.0,1.0,0,230,False,False,
CUS-009,custom,NEEDS_REVIEW,NEEDS_REVIEW,True,0.8852,PASS,,0.0,,24,6,1.0,1.0,1.0,0,165,True,True,
CUS-010,custom,ADMISSIBLE_WITH_LIMITS,ADMISSIBLE_WITH_LIMITS,True,0.9961,PASS,8000,8000.0,True,28,10,1.0,1.0,1.0,0,206,False,False,
